Maximize

2|3|-4|6|2|-9|5|8|-1|2|

-3|9|3|2|5|-1|-2|2|3|4|<=|10|
-2|4|1|4|-2|1|5|-1|5|1|>=|20|
2|3|1|-1|-2|-1|-4|4|2|3|<=|4|
5|6|-1|-2|6|2|6|2|-2|-1|>=|10|
-2|3|1|4|-1|-2|4|3|2|1|<=|30|
-2|-3|-5|-3|1|5|3|2|4|3|<=|20|
9|2|6|8|8|6|-10|8|4|2|<=|7|
-2|8|6|9|-10|9|6|5|-2|9|<=|40|
-1|7|8|-20|8|6|4|-3|-5|9|>=|10|
-3|-4|-1|8|4|7|1|-2|8|5|<=|20|
9|5|7|8|-2|-7|6|5|6|2|<=|4|
-1|5|3|6|7|-2|-3|-4|7|3|>=|6|
-2|7|4|5|-2|7|4|-6|6|4|<=|4|
-2|6|4|6|8|6|-2|8|9|7|<=|15|
2|9|5|-3|8|-6|8|-3|7|6|<=|25|
-3|6|7|3|4|6|3|6|8|4|<=|10|
7|8|5|3|3|5|6|7|-1|-2|>=|11|
-2|6|7|5|7|9|6|4|7|8|<=|30|
-3|7|4|-2|6|-2|7|9|6|4|<=|25|
-3|9|6|5|-2|-4|0|8|7|5|<=|10|

0|0|0|0|0|0|0|0|0|0|

inf|inf|inf|inf|inf|inf|inf|inf|inf|inf|

